Date,Product,Region,Channel,Category,Unit_Price,Units_Sold,Discount_Pct,Revenue,Cost,Profit,Customer_Type
2023-01-01,Flavored Milk,South,Supermarket,Beverage,2.3255741742799554,62,10.9,128.47,68.68,59.79,Regular
2023-01-01,Cream,South,Online,Fresh Dairy,3.715478518727007,27,11.5,88.78,59.34,29.44,Regular
2023-01-01,Buttermilk,North,Retail Store,Beverage,1.4196393692182545,59,11.9,73.79,40.52,33.27,New
2023-01-01,Flavored Milk,North,Retail Store,Beverage,2.5068674815885843,50,13.5,108.42,57.7,50.72,New
2023-01-01,Cheese,South,Supermarket,Processed Dairy,6.4227664671046485,45,3.6,278.62,183.98,94.64,Regular
2023-01-01,Milk,North,Retail Store,Fresh Dairy,2.2107463970858205,60,9.4,120.18,83.71,36.47,Wholesale
2023-01-01,Curd,Central,Retail Store,Fermented Dairy,1.5720082616621756,55,8.9,78.77,48.48,30.29,New
2023-01-01,Milk,South,Supermarket,Fresh Dairy,2.296362432232775,76,9.5,157.94,106.8,51.14,Regular
2023-01-01,Yogurt,South,Retail Store,Fermented Dairy,2.7370821020044844,48,9.6,118.77,74.94,43.83,Wholesale
2023-01-01,Paneer,North,Supermarket,Fresh Dairy,5.646368736445203,52,12.7,256.32,176.93,79.39,Regular
2023-01-01,Curd,East,Supermarket,Fermented Dairy,1.6727102601400319,62,14.1,89.09,55.78,33.31,Regular
2023-01-01,Ghee,Central,Wholesale,Dairy Fat,7.376680492984776,41,8.5,276.74,160.51,116.23,Regular
2023-01-01,Milk,East,Online,Fresh Dairy,2.0806835990471373,53,6.1,103.55,67.24,36.31,Regular
2023-01-01,Yogurt,East,Wholesale,Fermented Dairy,2.798494400932996,63,9.3,159.91,93.16,66.75,New
2023-01-01,Flavored Milk,West,Retail Store,Beverage,2.5113808187010074,46,9.8,104.2,55.4,48.8,New
2023-01-01,Ghee,South,Retail Store,Dairy Fat,8.45173327583229,30,11.3,224.9,130.93,93.97,Regular
2023-01-01,Ghee,East,Supermarket,Dairy Fat,8.012177825307376,33,8.6,241.66,133.9,107.76,Regular
2023-01-01,Flavored Milk,North,Online,Beverage,2.3035491714510985,42,12.3,84.85,44.78,40.07,Regular
2023-01-01,Butter,East,Retail Store,Dairy Fat,4.070908469922393,35,6.3,133.51,76.34,57.17,Regular
2023-01-01,Cheese,East,Supermarket,Processed Dairy,6.650967451111783,44,6.3,274.21,178.26,95.95,Regular
2023-01-01,Flavored Milk,West,Retail Store,Beverage,2.393493373535645,48,5.7,108.34,57.5,50.84,Regular
2023-01-01,Yogurt,East,Retail Store,Fermented Dairy,2.657011425540843,37,8.0,90.44,52.43,38.01,Regular
2023-01-01,Butter,South,Retail Store,Dairy Fat,3.9523595474440945,38,2.4,146.59,84.36,62.23,Wholesale
2023-01-01,Ghee,West,Supermarket,Dairy Fat,8.71070890241262,25,5.8,205.14,120.23,84.91,Regular
2023-01-01,Butter,North,Online,Dairy Fat,3.7731519520786856,31,13.1,101.64,58.68,42.96,Regular
2023-01-01,Curd,North,Retail Store,Fermented Dairy,1.7283851933428562,46,13.0,69.17,41.5,27.67,Regular
2023-01-01,Buttermilk,East,Supermarket,Beverage,1.4425755744996336,75,7.1,100.51,50.86,49.65,Wholesale
2023-01-01,Cheese,West,Supermarket,Processed Dairy,6.936634926758002,43,13.2,258.9,172.68,86.22,Regular
2023-01-01,Flavored Milk,South,Wholesale,Beverage,2.6697170668028547,84,0.5,223.13,118.08,105.05,Wholesale
2023-01-01,Curd,North,Wholesale,Fermented Dairy,1.6291705164122163,78,15.9,106.87,65.32,41.55,Regular
2023-01-01,Yogurt,Central,Wholesale,Fermented Dairy,2.9272996859895595,62,8.2,166.61,104.03,62.58,Regular
2023-01-01,Milk,North,Supermarket,Fresh Dairy,2.36205138662438,87,7.4,190.29,132.47,57.82,Wholesale
2023-01-01,Ghee,Central,Retail Store,Dairy Fat,8.47033208309497,27,7.0,212.69,122.99,89.7,Wholesale
2023-01-01,Milk,East,Online,Fresh Dairy,2.40110705425806,67,13.7,138.83,92.47,46.36,Regular
2023-01-01,Cheese,Central,Online,Processed Dairy,6.183286681846492,22,7.6,125.69,81.18,44.51,New
2023-01-01,Curd,Central,Supermarket,Fermented Dairy,1.5380024634948268,65,0.7,99.27,58.08,41.19,New
2023-01-01,Cream,Central,Supermarket,Fresh Dairy,3.55844124336287,38,14.8,115.21,81.81,33.4,Wholesale
2023-01-01,Butter,East,Supermarket,Dairy Fat,4.03829461932181,46,7.0,172.76,104.91,67.85,Wholesale
2023-01-01,Milk,East,Online,Fresh Dairy,2.15781056661616,50,10.3,96.78,64.66,32.12,Wholesale
2023-01-01,Cheese,South,Online,Processed Dairy,6.497011822900975,29,2.8,183.14,115.07,68.07,New
2023-01-01,Paneer,West,Online,Fresh Dairy,5.6799876830191085,38,11.0,192.1,127.21,64.89,Wholesale
2023-01-01,Cream,East,Wholesale,Fresh Dairy,3.518865370278224,44,9.2,140.59,94.88,45.71,Wholesale
2023-01-01,Butter,Central,Online,Dairy Fat,4.28136420592494,33,14.8,120.37,70.31,50.06,Regular
2023-01-02,Ghee,South,Retail Store,Dairy Fat,8.557593128669904,27,3.6,222.74,136.2,86.54,Regular
2023-01-02,Cheese,North,Retail Store,Processed Dairy,6.3891148125231085,26,6.9,154.65,96.92,57.73,Wholesale
2023-01-02,Curd,North,Retail Store,Fermented Dairy,1.5222582330554775,52,4.4,75.67,44.51,31.16,Wholesale
2023-01-02,Ghee,East,Supermarket,Dairy Fat,9.59789718211763,30,11.1,255.98,148.94,107.04,Regular
2023-01-02,Paneer,West,Wholesale,Fresh Dairy,6.4869008764008225,48,11.5,275.56,185.17,90.39,New
2023-01-02,Ghee,North,Wholesale,Dairy Fat,8.924613718316003,34,6.6,283.41,160.45,122.96,New
2023-01-02,Ghee,North,Supermarket,Dairy Fat,8.36908574755648,25,10.0,188.3,114.09,74.21,New
2023-01-02,Cheese,West,Online,Processed Dairy,6.552513964085918,30,6.2,184.39,108.1,76.29,Regular
2023-01-02,Milk,South,Online,Fresh Dairy,2.1232540825578945,68,6.2,135.43,91.28,44.15,Regular
2023-01-02,Cheese,East,Retail Store,Processed Dairy,6.417077157065707,31,11.8,175.46,113.19,62.27,Regular
2023-01-02,Buttermilk,South,Supermarket,Beverage,1.4238769979740964,68,9.7,87.43,45.06,42.37,New
2023-01-02,Cheese,East,Supermarket,Processed Dairy,6.468570159657995,36,6.7,217.27,131.34,85.93,Regular
2023-01-02,Cheese,Central,Supermarket,Processed Dairy,5.819631859361962,36,9.1,190.44,123.05,67.39,Regular
2023-01-02,Yogurt,South,Wholesale,Fermented Dairy,2.800493405049432,58,10.1,146.02,93.42,52.6,Regular
2023-01-02,Cream,Central,Wholesale,Fresh Dairy,3.406734054070099,40,7.8,125.64,84.77,40.87,Regular
2023-01-02,Curd,South,Retail Store,Fermented Dairy,1.5707630065256408,54,6.4,79.39,45.84,33.55,Wholesale
2023-01-02,Cheese,Central,Supermarket,Processed Dairy,6.0978235545636785,39,9.8,214.51,140.98,73.53,Wholesale
2023-01-02,Paneer,North,Retail Store,Fresh Dairy,6.514109774563039,32,6.4,195.11,131.92,63.19,Wholesale
2023-01-02,Cheese,South,Wholesale,Processed Dairy,5.863637191681812,57,11.3,296.46,189.42,107.04,New
2023-01-02,Milk,North,Retail Store,Fresh Dairy,2.213767851732617,43,2.7,92.62,65.4,27.22,Wholesale
2023-01-02,Cream,Central,Retail Store,Fresh Dairy,3.317506105525123,39,14.6,110.49,81.13,29.36,Regular
2023-01-02,Milk,West,Retail Store,Fresh Dairy,2.34249083281301,61,10.8,127.46,90.87,36.59,Regular
2023-01-02,Flavored Milk,North,Retail Store,Beverage,2.4456166048294046,53,8.7,118.34,61.07,57.27,Regular
2023-01-02,Cheese,East,Wholesale,Processed Dairy,6.194769688469172,41,1.5,250.18,146.16,104.02,Wholesale
2023-01-02,Cheese,Central,Supermarket,Processed Dairy,6.1929363578175245,42,4.0,249.7,149.73,99.97,Wholesale
2023-01-02,Butter,Central,Supermarket,Dairy Fat,4.278465198241149,36,10.6,137.7,76.24,61.46,Wholesale
2023-01-02,Flavored Milk,North,Supermarket,Beverage,2.399865207249915,75,12.1,158.21,85.87,72.34,Regular
